4.702,2.551,2.52,2.492,1.048,1.594,2.276,2.431,1.726,4.129,0.884,2.383,0.625,1.094,3.23,0.781,3.035,2.381,3.809,1.001,2.501,1.335,1.888,3.564,2.986,2.344,1.474,1.221,2.62,1.289,0.781,0.884,1.888,1.483,1.127,1.398,2.986,1.876,1.26,3.019,2.308,2.21,1.26,3.501,4.565,1.594,4.533,1.441,2.21,3.071,1.474,1.335,1.823,1.719,5.853,1.882,1.782,3.847,3.783,0.911,1.19,9.299,8.361
6.333,3.564,3.775,3.907,3.498,4.244,3.508,4.223,2.852,7.124,4.565,5.428,2.254,4.673,4.694,3.323,7.787,4.664,2.441,3.536,5.36,6.013,3.356,7.026,2.882,4.809,3.079,1.19,2.831,3.609,3.558,5.072,4.266,3.848,5.802,2.209,2.238,4.946,1.768,5.328,5.011,0.781,4.946,2.831,8.109,4.986,4.627,4.17,2.022,7.689,4.919,4.259,3.58,0.644,7.56,0.781,5.787,5.839,0,1.441,3.748,10.802,10.363
11.559,3.188,4.384,4.967,3.357,5.23,3.653,5.574,7.208,7.64,3.564,5.238,2.52,3.453,8.797,3.728,11.772,5.673,5.214,5.858,5.382,8.988,0,6.575,5.99,6.379,7.097,0.644,6.166,6.125,5.264,6.64,3.286,6.335,7.697,4.711,2.316,4.992,1.326,5.732,5.881,0,5.983,1.939,9.64,7.392,5.484,9.081,4.634,9.567,6.076,5.995,4.393,2.21,9.543,3.415,8.239,4.985,0,1.221,8.039,10.781,5.193
11.787,3.659,6.498,5.845,3.285,5.834,1.407,5.732,7.567,6.99,2.783,8.258,2.52,2.974,8.832,2.818,10.735,3.907,4.753,6.079,2.671,8.882,0,4.871,5.205,7.477,7.88,1.127,9.075,7.608,6.008,5.468,2.032,8.285,5.414,3.817,2.254,6.393,2.506,5.953,6.897,0,4.735,1.094,6.823,8.711,6.44,10.392,5.588,5.073,2.038,7.942,2.191,3.769,8.981,3.287,11.12,3.99,0,1.26,10.933,10.197,2.77
10.63,2.818,9.484,8.186,3.252,7.221,0.469,5.737,5.893,7.161,3.442,7.919,0,1.415,7.938,0,8.181,2.126,2.525,4.205,0,6.975,0,1.908,6.58,11.438,10.192,1.782,10.674,7.701,5.795,4.269,0,7.836,4.088,1.344,2.532,7.839,2.177,5.214,9.904,0,4.285,0.988,3.326,6.903,5.701,11.732,6.591,5.119,0,12.508,0,7.979,5.588,4.484,12.246,4.224,0,1.19,14.582,4.598,0
8.069,4.844,10.023,7.392,0.797,4.668,0,3.392,5.601,4.323,0.884,6.368,0,0.938,8.852,0,6.607,0.951,0.644,2.431,0,5.988,0,0,5.29,10.687,10.376,3.126,10.443,10.005,1.25,4.287,0,9.83,4.555,0,2.254,10.676,2.381,3.376,11.133,0,0,0,0,6.488,5.036,11.873,4.858,5.011,0,14.098,0,6.013,4.301,6.295,8.98,0,0,1.105,16.791,2.949,0
6.158,3.832,8.436,9.791,0,0.625,0,1.26,5.04,4.618,2.563,4.767,0,2.188,7.844,0,4.326,0,0,1.691,0,2.391,0,0,2.21,9.723,8.545,3.252,8.322,10.843,0,3.126,0,10.394,3.25,0,2.126,10.688,2.097,2.76,11.386,0,0,0,0,4.034,4.295,9.118,6.594,4.211,0,13.542,0,5.987,1.594,3.852,9.196,0,0,1.782,17.495,0,0
4.136,2.381,7.501,11.681,0,0,0,0,5.278,3.218,2.126,5.022,0,0.644,3.846,0,4.08,0,0,1.127,0,2.21,0,0,1.661,8.691,7.545,1.661,5.378,9.685,0,0.564,0,9.234,1.483,0,0.911,10.19,3.816,2.085,11.604,0,0,0,0,3.299,3.161,6.535,6.074,4.821,0,17.701,0,5.629,0,3.038,7.011,0,0,1.632,14.44,0,0
3.972,1.221,6.346,14.116,0,0,0,0,1.876,1.001,1.441,3.778,0,0,2.238,0,2.14,0,0,0,0,0,0,0,2.103,7.646,7.223,2.657,3.866,8.444,0,0,0,7.781,0,0,0.884,7.681,4.993,0,10.694,0,0,0,0,4.094,0,4.142,5.818,5.403,0,18.608,0,6.601,0,3.603,3.649,0,0,1.105,14.005,0,0
2.426,1.048,2.578,14.155,0,0,0,0,0.781,0,0,4.313,0,0,2.254,0,1.474,0,0,0,0,0,0,0,1.105,8.21,5.491,3.372,2.506,5.349,0,0,0,4.95,0,0,0,4.226,5.108,0,10.613,0,0,0,0,4.074,0,2.094,2.441,5.122,0,21.564,0,8.355,0,5.917,2.652,0,0,0.781,13.137,0,0
0,0,0,0,0,0,0,0,0,0,0,2.578,0,0,0,0,0,0,0,0,0,0,0,0,4.812,9.114,4.208,3.909,1.876,3.984,0,0,0,3.907,0,0,0,1.483,6.457,0,10.69,0,0,0,0,2.186,0,1.726,4.015,4.963,0,25.812,0,10.479,0,2.344,6.386,0,0,1.094,9.712,0,0
0,0,0,0,0,0,0,0,0,0,0,1.726,0,0,0,0,0,0,0,0,0,0,0,0,3.645,8.13,0,3.386,0,2.578,0,0,0,2.73,0,0,0,0,5.546,0,10.294,0,0,0,0,1.483,0,0,4.004,3.72,0,27.019,0,12.502,0,1.26,10.28,0,0,0,8.618,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.351,0,4.271,0,1.609,0,0,0,1.683,0,0,0,0,5.523,0,9.606,0,0,0,0,2.416,0,0,2.493,3.154,0,24.821,0,11.215,0,2.126,9.732,0,0,0,6.18,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,0,3.326,0,0.938,0,0,0,0.625,0,0,0,0,4.849,0,6.768,0,0,0,0,2.116,0,0,1.835,2.188,0,19.058,0,8.718,0,0,7.74,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.592,0,3.793,0,0.781,0,0,0,0.313,0,0,0,0,3.883,0,4.774,0,0,0,0,1.989,0,0,3.111,2.056,0,13.67,0,8.108,0,0,3.508,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.113,0,5.141,0,0.625,0,0,0,0,0,0,0,0,3.501,0,1.69,0,0,0,0,1.541,0,0,2.446,0,0,8.584,0,5.765,0,0,3.094,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.888,0,4.339,0,0,0,0,0,0,0,0,0,0,2.735,0,2.003,0,0,0,0,1.146,0,0,0,0,0,8.762,0,5.985,0,0,2.907,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.641,0,3.676,0,0,0,0,0,0,0,0,0,0,2.564,0,1.127,0,0,0,0,0,0,0,0,0,0,9.353,0,5.351,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.591,0,4.759,0,0,0,0,0,0,0,0,0,0,2.327,0,0.988,0,0,0,0,0,0,0,0,0,0,9.153,0,6.124,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.747,0,2.254,0,0,0,0,0,0,0,0,0,0,2.662,0,1.398,0,0,0,0,0,0,0,0,0,0,9.527,0,3.126,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.747,0,2.736,0,0,0,0,0,0,0,0,0,0,3.529,0,0,0,0,0,0,0,0,0,0,0,0,2.704,0,3.164,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.321,0,0,0,0,0,0,0,0,0,0,2.011,0,0,0,0,0,0,0,0,0,0,0,0,2.394,0,2.501,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.035,0,0,0,0,0,0,0,0,0,0,1.221,0,0,0,0,0,0,0,0,0,0,0,0,1.539,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.012,0,0,0,0,0,0,0,0,0,0,2.442,0,0,0,0,0,0,0,0,0,0,0,0,2.587,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.097,0,0,0,0,0,0,0,0,0,0,1.344,0,0,0,0,0,0,0,0,0,0,0,0,1.747,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0